id,code,name,aliquot,month_ucim,year_ucim
concept192,3.03.008,"Catering, servicios de comida producidos en forma industrial.",1,,
concept193,3.03.009,"Servicios de shipchandlers, atenciones a embarcaciones y tripulantes.",1,,
concept194,3.03.010,"Agencias de billetes de lotería, terminales, apuestas.",1,,
concept195,3.03.011,"Hípicas, casas de apuestas, sport book.",1,,
concept196,3.03.012,Casinos.,1,,
concept197,3.03.013,Máquinas traganíqueles.,1,,
concept198,3.03.014,Bingos.,1,,
concept199,3.03.015,"Salas, recintos de juegos, parques, salas de atracción",1,,
concept200,3.03.016,Clubes sociales con o sin fines de lucro.,1,,
concept201,3.03.017,Agencias de festejos.,1,,
concept202,3.03.018,Otros servicios conexos.,1,,
concept203,3.04.001,Hoteles,1,,
concept204,3.04.002,"Hostales, pensiones, posadas, campamentos y hospedajes.",1,,
concept205,3.05.001,Líneas de buses urbanas.,1,,
concept206,3.05.002,Líneas de buses interurbanas.,1,,
concept207,3.05.003,Transporte de pasajeros por carreteras.,1,,
concept208,3.05.004,"Taxis para transporte de pasajeros, líneas de carros por puesto para transporte de pasajeros por carretera.",1,,
concept209,3.05.005,Transportes especiales para turistas y excursionistas.,1,,
concept210,3.05.006,Servicios de transporte a pasajeros ocasionales.,1,,
concept211,3.05.007,Transporte de carga terrestre.,1,,
concept212,3.05.008,Transporte marítimo de pasajeros.,1,,
concept213,3.05.009,"Transporte de cabotaje, transporte oceánicos.",1,,
concept214,3.05.010,Transporte aéreo de pasajeros,1,,
concept215,3.05.011,Transporte aéreo de carga.,1,,
concept216,3.05.012,Distribución y comercialización de bebidas alcohólicas a través de vehículos.,1,,
concept217,3.05.013,Servicios de transportación.,1,,
concept218,3.05.014,Estación de servicios. (Gasolineras).,1,,
concept219,3.05.015,Alquiler de automóviles sin chofer.,1,,
concept220,3.05.016,"Alquiler de camiones con chofer, consolidación y desconsolidación de cargas.",1,,
concept221,3.05.017,"Servicios de mantenimiento de muelles, atracaderos, faros, edificios e instalaciones conexas para la navegación. Servicios de navegación, Servicios de remolques marítimos, servicio de alquiler de buques, otros medios de transporte, servicios relacionados, con el transporte por agua. Reparación y mantenimiento de embarcaciones, servicio de handling, groundservices, remolques, demás servicios aeronaves, líneas aéreas. Servicios de mudanzas nacionales e internacionales, alquiler de eronave con o sin piloto.",1,,
concept222,3.05.018,"Servicios de correo, paqueterías, encomiendas, cargas menores.",1,,
concept223,3.05.019,Servicio de embalaje y empaque de artículos.,1,,
concept224,3.05.020,Agencias de viajes.,1,,
concept225,3.05.021,"Transporte multimodal, agentes de aduanas, servicio de tránsito de mercancías.",1,,
concept226,3.05.022,"Servicios de depósito o almacenamiento, servicios de estiba, desestiba de cargas.",1,,
concept227,3.05.023,"Agencias navieras, vapores, alquiler, resguardo, custodia, reparación y mantenimiento de contenedores o furgones.",1,,
concept228,3.05.024,Almacén para mercancía en general.,1,,
concept229,3.06.001,"Clínicas, consultorios y otras instituciones similares, hospitales, imagenología, geriátricos y demás servicios conexos a la salud.",1,,
concept230,3.06.002,Laboratorios médicos.,1,,
concept231,3.06.003,Laboratorios dentales.,1,,
concept232,3.06.004,Servicios de ambulancia.,1,,
concept233,3.06.005,Clínicas para animales.,1,,
concept234,3.06.01.001,"Peluquerías, salones de belleza.",1,,
concept235,3.06.01.002,Barberías.,1,,
concept236,3.06.01.003,Escuelas de peluquerías.,1,,
concept237,3.06.01.004,"Baños turcos, salas de masajes.",1,,
concept238,3.06.01.005,Gimnasios,1,,
concept239,3.06.01.006,"Servicios de pedicuros, manicuros y quiropedia.",1,,
concept240,3.07.001,"Recolección, reciclaje, destrucción de desperdicios y desechos",1,,
concept241,3.07.002,"Limpieza en edificios, casas, exterminio, fumigación, desinfección, servicios de mantenimiento",1,,
concept242,3.07.003,"Limpieza de drenajes, desagües, bateas, cunetas, ductos, brocales, embaulamiento de quebradas",1,,
concept243,3.07.004,Auto-escuelas,1,,
concept244,3.07.005,"Academias, otros Institutos Similares",1,,
concept245,3.07.006,"Agencias de detectives, de protección personal, resguardo a la propiedad",1,,
concept246,3.07.007,Agencias funerarias,1,,
concept247,3.07.008,Estacionamiento,1,,
concept248,3.07.009,Autolavados,1,,
concept249,3.07.010,"Servicios de mantenimiento, cultivo de áreas verdes ornamentales",1,,
concept250,3.07.011,"Actividades de gestoría de documentos, tramitaciones",1,,
concept251,3.07.012,"Agencias de colocaciones, gestoría de cobranzas",1,,
concept252,3.07.013,"Servicios de reproducción, impresión heliográfica, fotocopia de correspondencia, documentos, taquimecanografía, traducción",1,,
concept253,3.07.014,"Servicios, instalación y venta de dispositivos o aparatos para sistemas de seguridad personal, residencial, industrial o comercial.",1,,
concept254,3.08.001,"Empresas con concesión o contrato para operar servicios de telecomunicaciones, tales como: telefonía fija, celular, voz y datos sobre IP, trunking, internet u otros valores agregados",1,,
concept255,3.08.002,"Servicio de radiodifusión y televisión abierta, por cable, satélite y otro medio tecnológico similar",1,,
concept256,3.08.003,Ventas de equipos de telecomunicaciones,1,,
concept257,3.09.001,Empresas con concesión o contrato para operar servicios de radiodifusión sonora,1,,
concept258,3.10.001,"Servicio y programación de sistemas, navegación de internet, cibercafé y realidad virtual",1,,
concept259,3.10.002,"Instrucción y talleres de computación, cursos de formación continuada privada presencial u on-line",1,,
concept260,3.10.003,"Estudios fotográficos y otros servicios relacionados con la fotografía, laboratorios de revelado y copia de películas",1,,
concept261,3.10.004,"Servicios de audio, data y video, arrendamiento y ventas de películas grabadas o filmadas, videos y juegos digitalizados. Empresas grabadoras de discos, cintas y similares.",1,,
concept262,3.10.005,"Otros servicios relacionados con la distribución y exhibición de películas, N.E.P.",1,,
concept263,3.10.006,Entradas a espectáculos públicos.,1,,
concept264,3.10.007,"Agencias de Contratación de actores, obras teatrales, artistas y conciertos.",1,,
concept265,3.10.008,"Servicios, instalación y venta de dispositivos o aparatos para sistemas de seguridad personal, residencial, industrial o comercial.",1,,
concept266,3.10.009,"Servicios de anuncios publicitarios, en todo tipo de medios informativos, carteles, anuncios luminosos, distribución de propagandas, ornamentación de vidrieras",1,,
concept267,3.10.010,Comercialización de medios digitales.,1,,
concept268,3.10.011,"Litografía, tipografía e Imprentas en general",1,,
concept269,3.10.012,"Edición de periódicos y revistas, edición de libros, cuadernos y materiales didácticos impresos, cualquier otro medio de difusión no especificado",1,,
concept270,3.10.013,Cualquier otro medio de difusión no especificado,1,,
concept271,3.11.001,"Prestación de servicios mecánicos, eléctricos y de gas a domicilio o en talleres.",1,,
concept272,3.12.001,Agencias de bancos comerciales,1,,
concept273,3.12.002,"Asociaciones de ahorro y préstamo, establecimientos de crédito personal y agentes de préstamo",1,,
concept274,3.12.003,Casas de empeño,1,,
concept275,3.12.004,Casas de cambio,1,,
concept276,3.12.005,Otros establecimientos financieros,1,,
concept277,3.12.006,Empresas de investigación y asesoramiento sobre inversiones,1,,
concept278,3.12.007,Compañías de seguros y reaseguros,1,,
concept279,3.12.008,Agentes y corredores de seguros,1,,
concept280,3.12.009,Agencias de avalúos y servicios para fines de seguros,1,,
concept281,3.13.001,Servicios inmobiliarios en la compra y venta de bienes inmuebles,1,,
concept282,3.13.002,"Oficinas urbanizadoras, arrendamiento y administración de bienes e inmuebles",1,,
concept283,3.13.003,"Arrendamiento y administración de bienes e inmuebles, ventas de parcelas, fosas, para inhumación de cadáveres.",1,,
concept284,3.13.004,"Empresas administradoras de puerto, administración de condominios",1,,
concept285,3.14.001,"Aparatos, máquinas y dispositivos para juegos o para actividades y servicios diversos accionados por cualquier medio de funcionamiento. Aparatos Accionados por medio de moneda, fichas, tarjetas magnéticas, u otra forma; o por cuyo funcionamiento se cobre al público en cualquier forma (Cada Uno).",1,,
concept286,3.14.002,"Aparatos musicales, en bares, cantinas, fuentes de soda u otros recintos, por cada aparato, musicales en cabarets, discotecas y clubes, por cada aparato",1,,
concept287,3.14.003,"Refrescos y bebidas no alcohólicas, por cada aparato.",1,,
concept288,3.14.004,"Cigarrillos, por cada aparato,",1,,
concept289,3.14.005,"Golosinas y otros comestibles listos para el consumo, por cada aparato",1,,
concept290,3.14.006,"Billares, pool, por cada mesa, juegos de bowling, por cada cancha.",1,,
concept291,3.14.007,"Aparatos o máquinas de juego o diversión, accionados por medio de monedas, fichas o impulsos electrónicos, aparatos o máquinas de juego o diversión, accionados por medio de monedas o fichas, por cada aparato",1,,
concept292,3.14.008,"Pesos automáticos que funcionan por medio de monedas, fichas u otro modo",1,,
concept293,3.14.009,"Los demás dispositivos, instrumentos, máquinas o aparatos, por cada aparato de estos.",1,,
concept294,3.14.010,"Venta de periódicos, revistas",1,,
concept295,3.14.011,"Golosinas, stands, módulos de venta",1,,
concept296,3.14.012,"Alimentos no perecederos, flores, frutas, legumbres, hortalizas",1,,
concept297,3.14.013,"Jugos naturales, máquinas de café, chicha, helados, dulces criollos",1,,
concept298,3.14.014,"Perros calientes, parrillas, pepitos, cachapas, hamburguesas, arepas, empanadas, refrescos, churros, donuts, panecillos, pastelitos",1,,
concept299,3.14.015,"Prendas de vestir, zapatos, lencería, juguetes, prendas, accesorios, productos de playa",1,,
concept300,3.14.016,"Perfumes, cosméticos, productos de tocador",1,,
concept301,3.14.017,Arreglos de calzados,1,,
concept302,3.14.018,Alquiler de tarjetas de teléfonos o de teléfonos,1,,
concept303,3.14.019,Reparaciones de relojes o prendas,1,,
concept304,3.14.020,"Servicios en general, sillas toldos y otros objetos para pernoctar en la playa y lugares",1,,
concept305,3.14.021,Expendio de bebidas alcohólicas eventuales,1,,
concept306,3.15.001,Cualquier otra actividad que no especifique en el clasificador único de actividades económicas,1,,
